transaction_id,bill_id,date,store_id,store_location,customer_id,customer_segment,product_id,product_category,product_name,quantity,unit_price,payment_method,discount_applied,channel
TXN-2025-0001,BILL-0001,2025-01-01,S1,Downtown,C001,Loyal,P101,Beverages,Orange Juice 1L,2,3.50,Credit Card,0.00,In-store
TXN-2025-0002,BILL-0001,2025-01-01,S1,Downtown,C001,Loyal,P508,Grocery,Cereal Box 500g,1,4.50,Credit Card,0.00,In-store
TXN-2025-0003,BILL-0002,2025-01-01,S2,Suburban,C015,Regular,P401,Dairy,Milk 1L,3,1.80,Cash,0.00,In-store
TXN-2025-0004,BILL-0002,2025-01-01,S2,Suburban,C015,Regular,P601,Bakery,Whole Wheat Bread,2,2.25,Cash,0.00,In-store
TXN-2025-0005,BILL-0003,2025-01-01,S3,Uptown,C042,New,P301,Personal Care,Shampoo 250ml,1,4.00,UPI,0.40,Online
TXN-2025-0006,BILL-0004,2025-01-02,S1,Downtown,C008,Loyal,P505,Grocery,Olive Oil 500ml,1,7.50,Credit Card,0.00,In-store
TXN-2025-0007,BILL-0004,2025-01-02,S1,Downtown,C008,Loyal,P506,Grocery,Pasta 500g,3,2.00,Credit Card,0.00,In-store
TXN-2025-0008,BILL-0004,2025-01-02,S1,Downtown,C008,Loyal,P403,Dairy,Yogurt 500g,2,2.00,Credit Card,0.00,In-store
TXN-2025-0009,BILL-0005,2025-01-02,S2,Suburban,C023,Regular,P201,Snacks,Potato Chips,4,1.20,Cash,0.00,In-store
TXN-2025-0010,BILL-0005,2025-01-02,S2,Suburban,C023,Regular,P105,Beverages,Cola 2L,2,2.50,Cash,0.00,In-store
TXN-2025-0011,BILL-0006,2025-01-02,S3,Uptown,C031,Loyal,P114,Beverages,Herbal Tea Box,2,5.00,Credit Card,0.00,In-store
TXN-2025-0012,BILL-0006,2025-01-02,S3,Uptown,C031,Loyal,P507,Grocery,Honey 500g,1,6.00,Credit Card,0.00,In-store
TXN-2025-0013,BILL-0007,2025-01-03,S1,Downtown,C005,Loyal,P501,Grocery,Rice 5kg,1,8.50,Debit Card,0.85,In-store
TXN-2025-0014,BILL-0007,2025-01-03,S1,Downtown,C005,Loyal,P502,Grocery,Wheat Flour 2kg,2,3.00,Debit Card,0.00,In-store
TXN-2025-0015,BILL-0008,2025-01-03,S2,Suburban,C019,Regular,P302,Personal Care,Body Lotion 200ml,1,5.50,UPI,0.00,Online
TXN-2025-0016,BILL-0008,2025-01-03,S2,Suburban,C019,Regular,P313,Personal Care,Lip Balm 3-Pack,2,3.20,UPI,0.00,Online
TXN-2025-0017,BILL-0009,2025-01-03,S3,Uptown,C045,New,P602,Bakery,Croissant 4-Pack,2,4.00,Cash,0.00,In-store
TXN-2025-0018,BILL-0010,2025-01-04,S1,Downtown,C002,Loyal,P116,Beverages,Hot Chocolate Mix,3,3.50,Credit Card,0.00,In-store
TXN-2025-0019,BILL-0010,2025-01-04,S1,Downtown,C002,Loyal,P603,Bakery,Muffins 6-Pack,1,5.00,Credit Card,0.00,In-store
TXN-2025-0020,BILL-0011,2025-01-04,S2,Suburban,C028,Regular,P402,Dairy,Cheese 200g,2,3.20,Cash,0.00,In-store
TXN-2025-0021,BILL-0011,2025-01-04,S2,Suburban,C028,Regular,P404,Dairy,Butter 250g,1,3.50,Cash,0.00,In-store
TXN-2025-0022,BILL-0012,2025-01-04,S3,Uptown,C038,Loyal,P509,Grocery,Peanut Butter 350g,1,4.50,UPI,0.00,In-store
TXN-2025-0023,BILL-0012,2025-01-04,S3,Uptown,C038,Loyal,P510,Grocery,Jam 350g,2,3.00,UPI,0.00,In-store
TXN-2025-0024,BILL-0013,2025-01-05,S1,Downtown,C012,Loyal,P203,Snacks,Cookies Pack,5,1.50,Credit Card,0.00,In-store
TXN-2025-0025,BILL-0013,2025-01-05,S1,Downtown,C012,Loyal,P207,Snacks,Candy Bar 3-Pack,3,2.00,Credit Card,0.00,In-store
TXN-2025-0026,BILL-0014,2025-01-05,S2,Suburban,C016,Regular,P304,Personal Care,Toothpaste 150g,2,2.20,Cash,0.00,In-store
TXN-2025-0027,BILL-0014,2025-01-05,S2,Suburban,C016,Regular,P305,Personal Care,Soap Bar 3-Pack,1,3.00,Cash,0.00,In-store
TXN-2025-0028,BILL-0015,2025-01-05,S3,Uptown,C033,Loyal,P405,Dairy,Ice Cream 1L,1,5.50,Credit Card,0.00,In-store
TXN-2025-0029,BILL-0016,2025-01-06,S1,Downtown,C003,Loyal,P511,Grocery,Lentils 1kg,2,2.50,Debit Card,0.00,In-store
TXN-2025-0030,BILL-0016,2025-01-06,S1,Downtown,C003,Loyal,P514,Grocery,Cooking Oil 1L,1,5.00,Debit Card,0.00,In-store
TXN-2025-0031,BILL-0017,2025-01-06,S2,Suburban,C021,Regular,P104,Beverages,Green Tea Pack,2,4.50,UPI,0.00,Online
TXN-2025-0032,BILL-0018,2025-01-06,S3,Uptown,C047,New,P604,Bakery,Bagels 6-Pack,1,3.50,Cash,0.00,In-store
TXN-2025-0033,BILL-0019,2025-01-07,S1,Downtown,C009,Loyal,P204,Snacks,Mixed Nuts 250g,2,6.50,Credit Card,0.00,In-store
TXN-2025-0034,BILL-0019,2025-01-07,S1,Downtown,C009,Loyal,P213,Snacks,Dried Fruits 200g,1,4.50,Credit Card,0.00,In-store
TXN-2025-0035,BILL-0020,2025-01-07,S2,Suburban,C025,Regular,P401,Dairy,Milk 1L,4,1.80,Cash,0.00,In-store
TXN-2025-0036,BILL-0020,2025-01-07,S2,Suburban,C025,Regular,P411,Dairy,Chocolate Milk 1L,2,2.80,Cash,0.00,In-store
TXN-2025-0037,BILL-0021,2025-01-07,S3,Uptown,C035,Loyal,P306,Personal Care,Hand Cream 100ml,1,4.20,UPI,0.00,In-store
TXN-2025-0038,BILL-0022,2025-01-08,S1,Downtown,C006,Loyal,P517,Grocery,Quinoa 500g,1,7.00,Credit Card,0.70,In-store
TXN-2025-0039,BILL-0022,2025-01-08,S1,Downtown,C006,Loyal,P518,Grocery,Brown Rice 2kg,1,5.50,Credit Card,0.00,In-store
TXN-2025-0040,BILL-0023,2025-01-08,S2,Suburban,C018,Regular,P605,Bakery,Donuts 6-Pack,2,4.50,Cash,0.00,In-store
TXN-2025-0041,BILL-0024,2025-01-08,S3,Uptown,C041,New,P109,Beverages,Energy Drink 4-Pack,1,6.00,Debit Card,0.00,In-store
TXN-2025-0042,BILL-0025,2025-01-09,S1,Downtown,C010,Loyal,P315,Personal Care,Moisturizer 100ml,1,6.00,Credit Card,0.00,In-store
TXN-2025-0043,BILL-0025,2025-01-09,S1,Downtown,C010,Loyal,P311,Personal Care,Conditioner 250ml,1,4.50,Credit Card,0.00,In-store
TXN-2025-0044,BILL-0026,2025-01-09,S2,Suburban,C027,Regular,P206,Snacks,Popcorn Pack,4,1.25,Cash,0.00,In-store
TXN-2025-0045,BILL-0027,2025-01-09,S3,Uptown,C036,Loyal,P608,Bakery,Cinnamon Rolls 4-Pack,1,5.00,UPI,0.00,In-store
TXN-2025-0046,BILL-0028,2025-01-10,S1,Downtown,C004,Loyal,P406,Dairy,Cream Cheese 200g,2,4.00,Credit Card,0.00,In-store
TXN-2025-0047,BILL-0028,2025-01-10,S1,Downtown,C004,Loyal,P410,Dairy,Greek Yogurt 400g,2,3.50,Credit Card,0.00,In-store
TXN-2025-0048,BILL-0029,2025-01-10,S2,Suburban,C022,Regular,P117,Beverages,Ginger Ale 1L,3,2.20,Cash,0.00,In-store
TXN-2025-0049,BILL-0030,2025-01-10,S3,Uptown,C039,Loyal,P512,Grocery,Tomato Sauce 500g,3,2.20,Debit Card,0.00,In-store
TXN-2025-0050,BILL-0030,2025-01-10,S3,Uptown,C039,Loyal,P513,Grocery,Mayonnaise 300g,1,3.50,Debit Card,0.00,In-store
TXN-2025-0051,BILL-0031,2025-01-11,S1,Downtown,C007,Loyal,P209,Snacks,Granola Bars 6-Pack,2,4.00,Credit Card,0.00,In-store
TXN-2025-0052,BILL-0031,2025-01-11,S1,Downtown,C007,Loyal,P218,Snacks,Protein Bars 4-Pack,1,6.00,Credit Card,0.00,In-store
TXN-2025-0053,BILL-0032,2025-01-11,S2,Suburban,C024,Regular,P309,Personal Care,Sunscreen 100ml,1,8.00,UPI,0.00,Online
TXN-2025-0054,BILL-0033,2025-01-11,S3,Uptown,C048,New,P606,Bakery,Cake Slice,2,3.00,Cash,0.00,In-store
TXN-2025-0055,BILL-0034,2025-01-12,S1,Downtown,C011,Loyal,P501,Grocery,Rice 5kg,2,8.50,Credit Card,0.00,In-store
TXN-2025-0056,BILL-0034,2025-01-12,S1,Downtown,C011,Loyal,P503,Grocery,Sugar 1kg,3,1.50,Credit Card,0.00,In-store
TXN-2025-0057,BILL-0035,2025-01-12,S2,Suburban,C017,Regular,P407,Dairy,Paneer 250g,2,3.80,Cash,0.00,In-store
TXN-2025-0058,BILL-0036,2025-01-12,S3,Uptown,C032,Loyal,P111,Beverages,Sparkling Water 1L,4,2.00,Debit Card,0.00,In-store
TXN-2025-0059,BILL-0037,2025-01-13,S1,Downtown,C001,Loyal,P310,Personal Care,Hair Oil 200ml,1,5.50,Credit Card,0.00,In-store
TXN-2025-0060,BILL-0037,2025-01-13,S1,Downtown,C001,Loyal,P312,Personal Care,Hair Gel 150ml,1,3.00,Credit Card,0.00,In-store
TXN-2025-0061,BILL-0038,2025-01-13,S2,Suburban,C020,Regular,P202,Snacks,Nachos Pack,3,2.50,Cash,0.00,In-store
TXN-2025-0062,BILL-0039,2025-01-13,S3,Uptown,C044,New,P609,Bakery,Sourdough Bread,1,3.50,UPI,0.00,In-store
TXN-2025-0063,BILL-0040,2025-01-14,S1,Downtown,C008,Loyal,P519,Grocery,Black Beans 500g,2,2.00,Credit Card,0.00,In-store
TXN-2025-0064,BILL-0040,2025-01-14,S1,Downtown,C008,Loyal,P520,Grocery,Chickpeas 500g,2,2.20,Credit Card,0.00,In-store
TXN-2025-0065,BILL-0041,2025-01-14,S2,Suburban,C026,Regular,P408,Dairy,Cottage Cheese 250g,1,4.20,Cash,0.00,In-store
TXN-2025-0066,BILL-0042,2025-01-14,S3,Uptown,C037,Loyal,P113,Beverages,Almond Milk 1L,2,4.50,Debit Card,0.00,In-store
TXN-2025-0067,BILL-0043,2025-01-15,S1,Downtown,C005,Loyal,P610,Bakery,Garlic Bread,3,2.50,Credit Card,0.00,In-store
TXN-2025-0068,BILL-0043,2025-01-15,S1,Downtown,C005,Loyal,P607,Bakery,Baguette,2,2.00,Credit Card,0.00,In-store
TXN-2025-0069,BILL-0044,2025-01-15,S2,Suburban,C029,Regular,P205,Snacks,Pretzels Pack,4,1.80,UPI,0.00,Online
TXN-2025-0070,BILL-0045,2025-01-15,S3,Uptown,C034,Loyal,P316,Personal Care,Face Cream 50ml,1,7.50,Credit Card,0.00,In-store
TXN-2025-0071,BILL-0046,2025-01-16,S1,Downtown,C002,Loyal,P412,Dairy,Sour Cream 200g,2,2.50,Debit Card,0.00,In-store
TXN-2025-0072,BILL-0046,2025-01-16,S1,Downtown,C002,Loyal,P413,Dairy,Feta Cheese 200g,1,4.50,Debit Card,0.00,In-store
TXN-2025-0073,BILL-0047,2025-01-16,S2,Suburban,C014,Regular,P208,Snacks,Trail Mix 300g,2,5.00,Cash,0.00,In-store
TXN-2025-0074,BILL-0048,2025-01-16,S3,Uptown,C040,Loyal,P515,Grocery,Spaghetti 500g,4,1.80,UPI,0.00,In-store
TXN-2025-0075,BILL-0049,2025-01-17,S1,Downtown,C012,Loyal,P303,Personal Care,Face Wash 100ml,2,3.80,Credit Card,0.00,In-store
TXN-2025-0076,BILL-0049,2025-01-17,S1,Downtown,C012,Loyal,P317,Personal Care,Hand Sanitizer 250ml,2,2.80,Credit Card,0.00,In-store
TXN-2025-0077,BILL-0050,2025-01-17,S2,Suburban,C023,Regular,P611,Bakery,Banana Bread,1,4.00,Cash,0.00,In-store
TXN-2025-0078,BILL-0051,2025-01-17,S3,Uptown,C046,New,P102,Beverages,Apple Juice 1L,3,3.75,Debit Card,0.00,In-store
TXN-2025-0079,BILL-0052,2025-01-18,S1,Downtown,C003,Loyal,P414,Dairy,Half and Half 500ml,2,3.00,Credit Card,0.00,In-store
TXN-2025-0080,BILL-0052,2025-01-18,S1,Downtown,C003,Loyal,P409,Dairy,Whipped Cream 250ml,1,3.80,Credit Card,0.00,In-store
TXN-2025-0081,BILL-0053,2025-01-18,S2,Suburban,C019,Regular,P210,Snacks,Crackers Pack,3,1.80,UPI,0.00,Online
TXN-2025-0082,BILL-0054,2025-01-18,S3,Uptown,C031,Loyal,P521,Grocery,Maple Syrup 250ml,1,6.50,Credit Card,0.00,In-store
TXN-2025-0083,BILL-0055,2025-01-19,S1,Downtown,C009,Loyal,P612,Bakery,Brownies 4-Pack,2,4.50,Debit Card,0.00,In-store
TXN-2025-0084,BILL-0055,2025-01-19,S1,Downtown,C009,Loyal,P613,Bakery,Chocolate Cake Slice,1,3.50,Debit Card,0.00,In-store
TXN-2025-0085,BILL-0056,2025-01-19,S2,Suburban,C021,Regular,P308,Personal Care,Razor Pack,1,5.00,Cash,0.00,In-store
TXN-2025-0086,BILL-0057,2025-01-19,S3,Uptown,C033,Loyal,P211,Snacks,Cheese Puffs,5,1.50,UPI,0.00,In-store
TXN-2025-0087,BILL-0058,2025-01-20,S1,Downtown,C006,Loyal,P103,Beverages,Mango Juice 1L,3,3.25,Credit Card,0.00,In-store
TXN-2025-0088,BILL-0058,2025-01-20,S1,Downtown,C006,Loyal,P107,Beverages,Lemonade 1L,2,2.80,Credit Card,0.00,In-store
TXN-2025-0089,BILL-0059,2025-01-20,S2,Suburban,C028,Regular,P516,Grocery,Tomato Paste 200g,3,1.50,Cash,0.00,In-store
TXN-2025-0090,BILL-0060,2025-01-20,S3,Uptown,C038,Loyal,P614,Bakery,Fruit Tart,1,4.00,Credit Card,0.00,In-store
TXN-2025-0091,BILL-0061,2025-01-21,S1,Downtown,C010,Loyal,P212,Snacks,Rice Cakes Pack,2,2.50,Debit Card,0.00,In-store
TXN-2025-0092,BILL-0061,2025-01-21,S1,Downtown,C010,Loyal,P214,Snacks,Veggie Chips,2,2.80,Debit Card,0.00,In-store
TXN-2025-0093,BILL-0062,2025-01-21,S2,Suburban,C016,Regular,P318,Personal Care,Shaving Cream 200ml,1,3.50,UPI,0.00,Online
TXN-2025-0094,BILL-0063,2025-01-21,S3,Uptown,C035,Loyal,P504,Grocery,Salt 1kg,2,0.80,Cash,0.00,In-store
TXN-2025-0095,BILL-0064,2025-01-22,S1,Downtown,C004,Loyal,P615,Bakery,Cheesecake Slice,2,4.50,Credit Card,0.00,In-store
TXN-2025-0096,BILL-0065,2025-01-22,S2,Suburban,C025,Regular,P106,Beverages,Mineral Water 6-Pack,2,4.00,Cash,0.00,In-store
TXN-2025-0097,BILL-0066,2025-01-22,S3,Uptown,C041,New,P307,Personal Care,Deodorant 150ml,2,3.50,Debit Card,0.00,In-store
TXN-2025-0098,BILL-0067,2025-01-23,S1,Downtown,C007,Loyal,P401,Dairy,Milk 1L,4,1.80,Credit Card,0.00,In-store
TXN-2025-0099,BILL-0067,2025-01-23,S1,Downtown,C007,Loyal,P402,Dairy,Cheese 200g,2,3.20,Credit Card,0.00,In-store
TXN-2025-0100,BILL-0068,2025-01-23,S2,Suburban,C018,Regular,P215,Snacks,Tortilla Chips,3,2.20,Cash,0.00,In-store
TXN-2025-0101,BILL-0069,2025-01-23,S3,Uptown,C036,Loyal,P108,Beverages,Coconut Water 1L,3,3.00,UPI,0.00,In-store
TXN-2025-0102,BILL-0070,2025-01-24,S1,Downtown,C011,Loyal,P314,Personal Care,Body Wash 300ml,1,4.80,Credit Card,0.00,In-store
TXN-2025-0103,BILL-0070,2025-01-24,S1,Downtown,C011,Loyal,P301,Personal Care,Shampoo 250ml,1,4.00,Credit Card,0.00,In-store
TXN-2025-0104,BILL-0071,2025-01-24,S2,Suburban,C027,Regular,P501,Grocery,Rice 5kg,1,8.50,Cash,0.00,In-store
TXN-2025-0105,BILL-0072,2025-01-24,S3,Uptown,C039,Loyal,P216,Snacks,Salsa Dip 300g,2,3.50,Debit Card,0.00,In-store
TXN-2025-0106,BILL-0073,2025-01-25,S1,Downtown,C001,Loyal,P505,Grocery,Olive Oil 500ml,1,7.50,Credit Card,0.00,In-store
TXN-2025-0107,BILL-0073,2025-01-25,S1,Downtown,C001,Loyal,P506,Grocery,Pasta 500g,2,2.00,Credit Card,0.00,In-store
TXN-2025-0108,BILL-0074,2025-01-25,S2,Suburban,C022,Regular,P217,Snacks,Seaweed Snacks,4,1.80,UPI,0.00,Online
TXN-2025-0109,BILL-0075,2025-01-25,S3,Uptown,C032,Loyal,P602,Bakery,Croissant 4-Pack,2,4.00,Cash,0.00,In-store
TXN-2025-0110,BILL-0076,2025-01-26,S1,Downtown,C008,Loyal,P110,Beverages,Iced Tea 1L,4,2.50,Credit Card,0.00,In-store
TXN-2025-0111,BILL-0076,2025-01-26,S1,Downtown,C008,Loyal,P115,Beverages,Smoothie Mix,1,4.00,Credit Card,0.00,In-store
TXN-2025-0112,BILL-0077,2025-01-26,S2,Suburban,C024,Regular,P403,Dairy,Yogurt 500g,3,2.00,Cash,0.00,In-store
TXN-2025-0113,BILL-0078,2025-01-26,S3,Uptown,C044,New,P511,Grocery,Lentils 1kg,2,2.50,Debit Card,0.00,In-store
TXN-2025-0114,BILL-0079,2025-01-27,S1,Downtown,C005,Loyal,P604,Bakery,Bagels 6-Pack,2,3.50,Credit Card,0.00,In-store
TXN-2025-0115,BILL-0079,2025-01-27,S1,Downtown,C005,Loyal,P603,Bakery,Muffins 6-Pack,1,5.00,Credit Card,0.00,In-store
TXN-2025-0116,BILL-0080,2025-01-27,S2,Suburban,C017,Regular,P302,Personal Care,Body Lotion 200ml,1,5.50,UPI,0.00,Online
TXN-2025-0117,BILL-0081,2025-01-27,S3,Uptown,C037,Loyal,P207,Snacks,Candy Bar 3-Pack,4,2.00,Cash,0.00,In-store
TXN-2025-0118,BILL-0082,2025-01-28,S1,Downtown,C002,Loyal,P508,Grocery,Cereal Box 500g,2,4.50,Credit Card,0.00,In-store
TXN-2025-0119,BILL-0082,2025-01-28,S1,Downtown,C002,Loyal,P509,Grocery,Peanut Butter 350g,1,4.50,Credit Card,0.00,In-store
TXN-2025-0120,BILL-0083,2025-01-28,S2,Suburban,C020,Regular,P404,Dairy,Butter 250g,2,3.50,Cash,0.00,In-store
TXN-2025-0121,BILL-0084,2025-01-28,S3,Uptown,C040,Loyal,P112,Beverages,Fruit Punch 2L,2,4.00,Debit Card,0.00,In-store
TXN-2025-0122,BILL-0085,2025-01-29,S1,Downtown,C012,Loyal,P517,Grocery,Quinoa 500g,1,7.00,Credit Card,0.00,In-store
TXN-2025-0123,BILL-0085,2025-01-29,S1,Downtown,C012,Loyal,P518,Grocery,Brown Rice 2kg,1,5.50,Credit Card,0.00,In-store
TXN-2025-0124,BILL-0086,2025-01-29,S2,Suburban,C026,Regular,P605,Bakery,Donuts 6-Pack,2,4.50,Cash,0.00,In-store
TXN-2025-0125,BILL-0087,2025-01-29,S3,Uptown,C033,Loyal,P313,Personal Care,Lip Balm 3-Pack,2,3.20,UPI,0.00,In-store
TXN-2025-0126,BILL-0088,2025-01-30,S1,Downtown,C003,Loyal,P201,Snacks,Potato Chips,5,1.20,Credit Card,0.00,In-store
TXN-2025-0127,BILL-0088,2025-01-30,S1,Downtown,C003,Loyal,P203,Snacks,Cookies Pack,4,1.50,Credit Card,0.00,In-store
TXN-2025-0128,BILL-0089,2025-01-30,S2,Suburban,C029,Regular,P405,Dairy,Ice Cream 1L,1,5.50,Cash,0.00,In-store
TXN-2025-0129,BILL-0090,2025-01-30,S3,Uptown,C035,Loyal,P514,Grocery,Cooking Oil 1L,1,5.00,Debit Card,0.00,In-store
TXN-2025-0130,BILL-0091,2025-01-31,S1,Downtown,C009,Loyal,P310,Personal Care,Hair Oil 200ml,1,5.50,Credit Card,0.00,In-store
TXN-2025-0131,BILL-0091,2025-01-31,S1,Downtown,C009,Loyal,P311,Personal Care,Conditioner 250ml,1,4.50,Credit Card,0.00,In-store
TXN-2025-0132,BILL-0092,2025-01-31,S2,Suburban,C014,Regular,P101,Beverages,Orange Juice 1L,3,3.50,UPI,0.00,Online
